Geographic Area,"Total Population April 1 2000r","Total Population April 1 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
Russell town,1801,1856,55,3.1%,60,36,89,64221,,A
Stockholm town,3592,3665,73,2%,60,36,89,71410,,A
Waddington town,2212,2266,54,2.4%,60,36,89,77739,,A
Saratoga County,200635,219607,18972,9.5%,50,36,91,,,A
Ballston town,8729,9776,1047,12%,60,36,91,4220,,A
Charlton town,3958,4133,175,4.4%,60,36,91,13926,,A
Clifton Park town,33110,36705,3595,10.9%,60,36,91,16353,,A
Corinth town,6259,6531,272,4.3%,60,36,91,18223,,A
Day town,920,856,-64,-7%,60,36,91,19807,,A
Edinburg town,1384,1214,-170,-12.3%,60,36,91,23591,,A
Galway town,3589,3545,-44,-1.2%,60,36,91,28112,,A
Greenfield town,7362,7775,413,5.6%,60,36,91,30444,,A
Hadley town,1971,2048,77,3.9%,60,36,91,31269,,A
Halfmoon town,18359,21535,3176,17.3%,60,36,91,31489,,A
Malta town,13005,14765,1760,13.5%,60,36,91,44743,,A
Mechanicville city,5019,5196,177,3.5%,60,36,91,46360,,F
Milton town,17103,18575,1472,8.6%,60,36,91,47537,,A
Moreau town,13549,14728,1179,8.7%,60,36,91,48318,,A
Northumberland town,4603,5087,484,10.5%,60,36,91,53737,,A
Providence town,1837,1995,158,8.6%,60,36,91,59949,,A
Saratoga town,5114,5674,560,11%,60,36,91,65244,,A
Saratoga Springs city,26186,26586,400,1.5%,60,36,91,65255,,F
Stillwater town,7522,8287,765,10.2%,60,36,91,71333,,A
Waterford town,8515,8423,-92,-1.1%,60,36,91,78531,,A
Wilton town,12541,16173,3632,29%,60,36,91,82403,,A
Schenectady County,146551,154727,8176,5.6%,50,36,93,,,A
Duanesburg town,5808,6122,314,5.4%,60,36,93,21006,,A
Glenville town,28179,29480,1301,4.6%,60,36,93,29366,,A
Niskayuna town,20295,21781,1486,7.3%,60,36,93,51264,,A
